token	frequency	label	llm_reason	example_sentence_used
chaiye	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Usne bola aapne maan liya . Kapil sharma ne proof diya aapko aur chaiye .. Army ne surgicalstrike ki apko saboot chaiye . U need break
chhota	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	main bahut chhota aadmi hoon, meri koi aukat nahi hai. degree bhi hum fake hi use karte hain.
chori	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Ra_Bies Thodi si jo pee li hai.. chori to nahi ki hai..
chuke	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Are beimano SurgicalStrike pe tumhi log Pakistan ki tarah evidence mang rahe thena ??? Tumhara Fake Emotion sab Hindustani jan chuke he ab !
chuki	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	LEDtvn adhi duniya ko to dikha chuki ho
dino	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	itte dino baad " launcher " paaji dikhe :d :p
haaye	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Entertainment sabko free ka hi chahiye hota hai, haaye ye zaalim duniya *wipes a tear*
hadd	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	oxymoronic_me hadd hai yaar
haramiparindey	16	HINGLISH	no_context_default	
hath	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Jadeja be like, bhai hath mila lo to ham jayen.
humko	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Chota bachcha samajh ke humko na aankh dikhaana re.. - Arya Stark AndColorPockeT
incindia	16	HINGLISH	no_context_default	
ishq	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	"Yeh ishq nahi asaan, aji AIDS ka khatra hai" Happy Birthday Gulzaar Saab
kaash	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	kaash kachua sir bhavnao ko samjh sakte . . :p
kai	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	hahaha very nice maine bhi kai bar kiya h .
kajubadamchor	16	HINGLISH	no_context_default	
kamaal	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	jabatdast dost . . . . 1 page me rula diya yaar . . . . . kamaal hai . . . . superb nd hatss off to ur crearivity . . .
kardo	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Hi bomanirani sir Apne kaha tha remind kradana Autograph send karna hai so please send kardo .
karu	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	FanSidharth Muje dekhne ke liye time nhi milta hai re . Kya karu bata biddu tu bata ? Office me kaam bhi hai bole to
kidhar	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	No change in team hum to batting hi karege ... Are ye anushka kidhar hai .. IndvsSA
maal	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	ExSecular aaj to mehenga wala maal mangwaya hai OfficeOfRG ne
milega	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	HasnaZarooriHai abh call girl ko isi accha kya milega ..
msdhoni	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Ab Kaun Karega Anhoni Ko Honi ? msdhoni dhoni retirement cricket
mushkil	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Ab piyakadd aur anpad ko kya maalum GST tax payers ki life easy banata hai mushkil nahi.
oinkoo	16	HINGLISH	no_context_default	
padhai	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	bhai aap bhul gye kya hume social science kisne padhai h , unhone dekha to pitaayi ho jayegi .:(
pappu	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	poonamkhatri ApuKalips ho ya pappu ka, in lip year sab chalta hai.
poore	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	NeetuGarg6 ArjunIrplast RitaG74 YouTube crores Logon mein ye chand saans lete haanfnewale netaon ne poore pradesh ki saanse kaise rok di
rahulonleave	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Saara seher mujhe PAPPU k naam se janta hai . whereisrahul rahulonleave twistedbollywoddialogues
saara	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	GuessTheSong Tu jo dariya mein utre saara paani gulaabi
samjha	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	kuch nahi samjha kabhi, itne saare cheezon se deal karna aata toh shayad life mein succesfull hota.
sardesairajdeep	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	.2witsofwisdom Main to ready hoon ji, yeh log bhaag rahe hain sardesairajdeep VishalDadlani
sayshardik	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	sayshardik pintubaba_ Ye baatli chahiye mujhe :(
srbachchan	16	HINGLISH	no_context_default	
ttrinadasgupta	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	ttrinadasgupta Aaila, bahar kyu nahi
utha	16	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Tweepshikha meri achhai ka toh fayda utha rahe ho tum, mazaak udaa kar.
aadat	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Miss u msd " aadat ho gayi hai aapko captain dekhte hue .. Dhoni
aajtak	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Small village ka bhi news dikhao kabi TripleTalaq Kabi Kashmiri Up Yogi in se bhi bahar niklo Sir Ji aajtak sardesairajdeep
aakhir	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Chahe kitna bhi bada mahagathbandhan kar lo, aakhir mein BJP ne dhoti utaar hi di.
aankhon	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Aankhon hi aankhon mein ishaara hogaya, baithe baithe FIR ka sahara hogaya?
aansoo	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	aansoo khushi ke …
acche	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Modi ne Notebandi toh kar di " par hamaare jaise foreveralone engineers ke liye bandi kab dhund dega 0 Kya yahi hai acche din?
apka	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Sir me apka big big fan hu mujy apse call pe bt karni hai ek bar sir mera contact num 03356507139 Skype I.d abdul.rehman6731 plzzzz contact meabdul.rehman.sahabto
asli	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	asli power dil me hoti hai friendlii_ghost
babafirki	15	HINGLISH	no_context_default	
bhaiyya	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	bhaiyyajispeaks haha.. Haath dho kar aana bhaiyya ji
bloodykamina	15	HINGLISH	no_context_default	
bro	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Ra_Bies Hello saadu saahab (senior bro in law), ki haal chaal?
delhismog	15	HINGLISH	no_context_default	
dikh	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	kaalia_bhatt kuch dikh nahi raha
dusre	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Politics parties Obama ji se seekhe apne bhashan me ek dusre pr nishana saadhne ke alawa sirf ' Namastey ' hi kahde to baat ban jaayegi ..
engineeroholic	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	engineeroholic pakka kuchh nahi keh sakte
gabbbarsingh	15	HINGLISH	no_context_default	
hashtag	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	... abhi aayega rukiye " mehrishisumati : Once upon a time there was a hashtag RailBudget2015 "
humare	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Enjoy krlo humare paise se ...world tour waw. .....
huwa	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Bahot hi galat huwa ya, shraddhanjali arpit karte hai :'(
jawab	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Trump baap ke Dhamki ka bhi jawab do Gandou sirf IK k khelaaf mat bhonko
jisne	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	ab voh bola jisne kisi bhi party ko support karne se mana kardiya tha . . a flop show annaji
kachua	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	bhai ye kachua sir galat kyo likh rahe hai a2+b2=c2
kamal	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	IBleedGreen inshaALLAH aaj hamaray fast bowlers kamal kar dikhayengay
kay	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	mhassanaimc can win ager koi dhand ka captain ho , jo kay dur dur tak kahen nahi ha .
khabar	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Aaj kal tere mere pyar ke charche har zubaan par, sabko maalum hai aur sabko khabar hogayi. Could you just play it low profile woman?
khayal	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Saayad mera barwadi ka khayal Mann mai aaya hai " isiliye Trump ne mujhe WashingtonDC bulaya hai !
khuda	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	_Agathist jiska koi nahi uska khuda hai
kia	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	unhone pehle pic ni dkhi ti kya tmhari jo milne k baad hi ignore kia tmhe . . . ?
ledtvn	15	HINGLISH	no_context_default	
maam	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	maam is wrong in rejecting guddu ... acting me to chhora ghana tez hai
maang	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Sunne mai aaya hai k TripleTalaq k baad kuch ladke court jakr Qubool hai replace krke bolozubaankesri ki maang ki hai ... vimaaltroll
naye	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Aaj Indrani ka kitne naye patiyo ka pata chala.. Koi update karega?
neeche	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	She called her roomie after reaching her place, saying Urvi yaar 150 udhaar de de plz. Haan kutti pehle ke 600 aur ye dungi, abhi neeche aa
obama	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	modi ka majak to obama ne udaya tha :-d
omg	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	wowwwwww omg aaj kyu nahi ............love u salman
pada	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	match wale din bhi office aana pada but koi na boss se chhupte chhupate online live streaming chalu hai . . . . . . go india go .
samne	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	main scooter ke aage khadi hoti thi ... to papa samne dekh nhi pate the .. hehehe
shri	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	jaikesarinandan jai shri Ram
sureshpprabhu	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	sureshpprabhu Sr.my friend halp plz . Use doodh ki bahut jarurat hai chhota baby hai
thand	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	atleast jise thand lagti ho use de diya karo :)
tujhse	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Jabse gst aaya "hai sabne restaurant mei khana shuru kr diya Kyu "behn ghar pe dal roti bhi nahi pakti tujhse ?
vikas	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Sonia Gandhi ko pata nahi tha ki 90% dimag ka vikas 5 saal tak ho jaata hai.
wah	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	gantantra divas ke laddu wah bhai kya baat kya baat kya baat . . .
zinda	15	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	GaurangBhardwa1 zinda hu yaar kaafi hai
aayee	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Sirji ye baat kuch samaj nahi aayee
angryoungwoman	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Trump banne ki koshish.. matlab ab yugpurush ji US Prez ka chunaav ladenge ?? God save America angryoungwoman
ashutosh	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	ek_samosa_dena BC ashutosh ko kha gayee ?? MasalaBai
baithe	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Khud ba khud radicalize ho gaya, bas baithe baithe
bete	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	kaun bole parents ko nahi hai interest unke bete mein :d :d toh bekar mein kyun dekho usse
chacha	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	To ye tere chacha ne kiya hai ?
chakkar	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Doosro ka maar ke bana thaa, doosro ka maarne ke chakkar me phasa....
dega	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Haar aur Jeet to khel ka hissa hai. Ye wala bahut din taklif dega wo kissa hai.
dekhta	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	ppritam009 nahi bhai. Kam hi aata hu main to mentions jyada dekhta nahi.
didi	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	mamtan14 didi abhi apni me time hai
dijiye	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	pm sir ek post m n rai ke liye bhi kar dijiye . . . 27 jan ko shaheed huye hai . . . .
gaaliyan	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	RT Iam_Prerna : Ye nalayak out bhi honge aur gaaliyan bhi khayenge IndvsPak
gai	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	tu such mein pagal ho gai hai......jo ho gya so ho gya babu....ek achhi and happy life start kar....
ghatiya	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	visvash ka ashleel bayaan or ab ye ghatiya pann . . . . . . . .
isne	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	retardedwriter MeetUunngLee haa isne kar leni chahiye
jhasanjay	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Sir jhasanjay ye bewafai hai. Rahul ji vacations par kya chale gaye aap unhe bhoolkar Roger-Roger karne lage.
jitna	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	agar woldcup jitna h na to ..sehwag aur yuvi ko bulale team me
kamaalrkhan	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	kamaalrkhan sir ye tweet unko bhej do. Itni Hi-Fi English padh ke wo waise hi suicide kar lega.
khelne	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	The Quint " Holi khelne se bacche aatankwaadi ban jaate hain ..!!!
kisko	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Main hamesha sach bolta hu, ache tweets ki kadar kisko hai magar?
klpe	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	klpe so ja bhai
kutta	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Ankit LOL ne Arnab ko Modi ka kutta bola . shaam ko maza
mazaak	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Tweepshikha meri achhai ka toh fayda utha rahe ho tum, mazaak udaa kar.
melotus	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	melotus Toh AAP common hi hai na? Hadh hai
milna	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	YearOfRat batao aap, kahan milna hai? Alllahdin retardedwriter
nickhunterr	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	nickhunterr hahaa.. Matlab ab date yaad dilaoge twinitisha
oye	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	village_wale oye Shashi sabudana khichdi hai . See prooerly
padegi	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Atheist_Krishna ab to sunny leone ki pic dikhaani padegi zzoker Being_Humor
pareshan	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	sonakshisinha bhai indiantweeter ab tu naye naye account bana ke sona ko pareshan karega !!!
pati	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	kash guddu ki aur hum sabki ma samjh pati . . . match k din hamara pet match se hi bharta hai . .
pta	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	jb pehle hi pta hai ki ye tingu lofer hai . . :d
rakho	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	aap gulaab jamun khao bas aur muh band rakho RanaAyyub
ruk	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	imcomplicated__ ye zameen ruk jaaye, aasman jhuk jaaye, tera chehra jab nazar aaye
saala	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Tumhara pyar na huwa Vodafone 4G huwa, saala kabhi milta hi nahi.
seedha	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	cha cha ? ab seedha Trump nazar aane laga ? Kasab se Trump tak ?
since	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	i stole rs 400 from my 1st roomie , he actually thought it was someone else in the wing # since i was his roomie i was beyond suspicion
sirji	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	TripleTalaq sirji aap ne to sab chura liya. triple "talaq ram "mandir "vikas appeasement opposition ko kucchh chhodo
srk	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	friendlii_ghost srk fans ko waise bhi aur koi kam dhandha to hota nahi Tumharebaap
suresh	14	HINGLISH	no_context_default	
tym	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	mai to itne games me b bas ninja turtles , street fighter , car race and mario khel kar khush tha baki games par dhyan dene ka tym kiske pas tha :-d
udhaar	14	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	She called her roomie after reaching her place, saying Urvi yaar 150 udhaar de de plz. Haan kutti pehle ke 600 aur ye dungi, abhi neeche aa
aag	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	anuradha_kush Nakaam mohabbat ki aag main jal rahi mahila aur yeh aashiq number 2
abi	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Salman bhai mafi Maglo abi time hi..Muslim bina hit karuga Bajrangi Bhaijan ko...kesi karo gi bhai...apka frns group he hi Muslim
agle	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Hahaha abhi to qualify bhi nahi hui hai, Wenger hoga toh nahi jeetenge, agar Wenger hatt gaya phir to agle 4 saal tak nahi jeetenge!
angrezi	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	NotSoNautankee itni angrezi nahi aati.. Hindi me samjhao
bachche	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	DefucktiveHumor bachche ko beech me mat lao yaar Atheist_Krishna Ra_Bies
badiya	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	bahut badiya , bahut hi undaa , kya baat , kya baat . dil jit liya tune toh . . . :d
banne	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Trump banne ki koshish.. matlab ab yugpurush ji US Prez ka chunaav ladenge ?? God save America angryoungwoman
barkha	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Lol barkha ji kamaal karti hain
bharosa	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Apake upar bharosa hai.. ..bhai! Aap koi galat kam nahi kar sakte.. .. !
bht	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	aj apne hum sbko bht hurt kiye salman...apse ye umid nhi thi hum sb ko :-(...bt m also luv u salman...:)
chaar	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	ChickenBiryanii ab yahi chaar hai bhai
chatpatidiary	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	chatpatidiary tum itne teekhe kyun hote ho mere saath? Kya kiya hai maine?
chutti	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	aisa school ho to sunday ki bhi chutti na karun . . . .
dhoka	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	RahulGandhi ji namonitish ne corruption ke against jake dhoka diya ya aapne corruption ke sath rahkar janta ko 0 BiharWithTejashwi
dukaan	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	RT Nawabzaadaa : Manhoosiyaat ki dukaan imrankhan imrankhan pak ind TeamIndia PAKvsIND IndvsPak WT20 pak
gaane	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	YearOfRat haha, inke gaane by God by heart ho jaate hai. Woh bhi Gujarati wale
hamein	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Bhai sab theek? Pyar hamein bhi hai tujhse
hitennarendra	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	hitennarendra aajkal hum khud hi ghum rehte hai.. Ladki chhod ke chali gayee. Dil hi toot k reh gaya hai
idhar	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Salmannnnn aaa intezaar idhar ? tere liye ?
im	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	OyeMaria Hey bhagwan ... aaj MahaShivratri hai ... aisi baatein naa karein plz ... im a brahmachari like modi ji :p
indvsban	13	HINGLISH	no_context_default	
inki	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	nawab_lucknow daya aati hai inki condition pe mujhe..PatheticNitishKaNakliVikas
issi	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	slimswamy yehi to hum semjhane ki koshish kar rahe hain. Log to sab kuch ko issi mein tol dete hain. Context: …
jal	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	badrirag ArvindKejriwal Tere ko kyun jal rahi hai agar koi apne PM ki degree demand kar raha hai ?
janam	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Ra_Bies sayshardik Daaru peena mera janam siddh adhikar hai aur ye haq mujhse koi nahi chheen sakta :-D
kanhaiya	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	himanshujainon DrGarekar ashvasant are bhai uski biwi ne mana kia tha . He is innocent otherwise like # kanhaiya , poor student of JNU
kaunsa	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Suna hai aajkal log OfficeOfRG ke rally k bad GST me se kaunsa product ghataya jayega ispar bet laga rahe hai.
khas	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	RT Shaheer_S : NimmyRajan new life Mein thoda busy Hun .. Aur Phone khas pasand Nahi hai Mujhe .
khoob	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Therockstar8 imcomplicated__ khoob kahan hai, sach baat hai ye.
krna	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	plzz slaman jrur aana onlin or plzz jrur baat krna apne fans se plzzz..plzzzz...
kyo	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Ja kar Naam puch lo , itna sharmate kyo ho . She will like it .
mehnat	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Aur RahulGandhi ji ne apni hi Party INCIndia aur apne pariwar k itne saalon k is mehnat par ek aur SelfGoal kar diya ...
mildlyclassic	13	HINGLISH	no_context_default	
pani	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	mitra_meghna hahahahha aaj bahut pani hai mere pas thy can take how much want
pvsindhu	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	PrernaBisht11 di aap bhi meri tarah saari padhai khatam karke abhi badminton dekhne jaa rahe ho ? pvsindhu
rakhna	13	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	zoomphatak apna waada yaad rakhna
